year,sex,level_of_school,age,no_of_teachers
2015,MF,SECONDARY,50 - 54,935
2015,F,SECONDARY,50 - 54,589
2015,MF,SECONDARY,55 & ABOVE,1213
2015,F,SECONDARY,55 & ABOVE,810
2016,MF,PRE-UNIVERSITY,24 YEARS & BELOW,18
2016,F,PRE-UNIVERSITY,24 YEARS & BELOW,18
2016,MF,PRE-UNIVERSITY,25 - 29,465
2016,F,PRE-UNIVERSITY,25 - 29,307
2016,MF,PRE-UNIVERSITY,30 - 34,662
2016,F,PRE-UNIVERSITY,30 - 34,392
2016,MF,PRE-UNIVERSITY,35 - 39,649
2016,F,PRE-UNIVERSITY,35 - 39,349
2016,MF,PRE-UNIVERSITY,40 - 44,433
2016,F,PRE-UNIVERSITY,40 - 44,215
2016,MF,PRE-UNIVERSITY,45 - 49,242
2016,F,PRE-UNIVERSITY,45 - 49,112
2016,MF,PRE-UNIVERSITY,50 - 54,168
2016,F,PRE-UNIVERSITY,50 - 54,98
2016,MF,PRE-UNIVERSITY,55 & ABOVE,288
2016,F,PRE-UNIVERSITY,55 & ABOVE,181
2016,MF,PRIMARY,24 YEARS & BELOW,198
2016,F,PRIMARY,24 YEARS & BELOW,197
2016,MF,PRIMARY,25 - 29,2374
2016,F,PRIMARY,25 - 29,2077
2016,MF,PRIMARY,30 - 34,2768
2016,F,PRIMARY,30 - 34,2122
2016,MF,PRIMARY,35 - 39,3062
2016,F,PRIMARY,35 - 39,2436
2016,MF,PRIMARY,40 - 44,2853
2016,F,PRIMARY,40 - 44,2240
2016,MF,PRIMARY,45 - 49,1925
2016,F,PRIMARY,45 - 49,1541
2016,MF,PRIMARY,50 - 54,992
2016,F,PRIMARY,50 - 54,797
2016,MF,PRIMARY,55 & ABOVE,1185
2016,F,PRIMARY,55 & ABOVE,1007
2016,MF,SECONDARY,24 YEARS & BELOW,290
2016,F,SECONDARY,24 YEARS & BELOW,285
2016,MF,SECONDARY,25 - 29,2923
2016,F,SECONDARY,25 - 29,2176
2016,MF,SECONDARY,30 - 34,3072
2016,F,SECONDARY,30 - 34,2017
2016,MF,SECONDARY,35 - 39,2769
2016,F,SECONDARY,35 - 39,1638
2016,MF,SECONDARY,40 - 44,2295
2016,F,SECONDARY,40 - 44,1262
2016,MF,SECONDARY,45 - 49,1542
2016,F,SECONDARY,45 - 49,875
2016,MF,SECONDARY,50 - 54,950
2016,F,SECONDARY,50 - 54,598
2016,MF,SECONDARY,55 & ABOVE,1255
2016,F,SECONDARY,55 & ABOVE,834
2017,MF,PRE-UNIVERSITY,24 YEARS & BELOW,12
2017,F,PRE-UNIVERSITY,24 YEARS & BELOW,12
2017,MF,PRE-UNIVERSITY,25 - 29,390
2017,F,PRE-UNIVERSITY,25 - 29,263
2017,MF,PRE-UNIVERSITY,30 - 34,631
2017,F,PRE-UNIVERSITY,30 - 34,376
2017,MF,PRE-UNIVERSITY,35 - 39,662
2017,F,PRE-UNIVERSITY,35 - 39,365
2017,MF,PRE-UNIVERSITY,40 - 44,436
2017,F,PRE-UNIVERSITY,40 - 44,219
2017,MF,PRE-UNIVERSITY,45 - 49,262
2017,F,PRE-UNIVERSITY,45 - 49,119
2017,MF,PRE-UNIVERSITY,50 - 54,177
2017,F,PRE-UNIVERSITY,50 - 54,99
2017,MF,PRE-UNIVERSITY,55 & ABOVE,278
2017,F,PRE-UNIVERSITY,55 & ABOVE,182
2017,MF,PRIMARY,24 YEARS & BELOW,113
2017,F,PRIMARY,24 YEARS & BELOW,112
2017,MF,PRIMARY,25 - 29,2147
2017,F,PRIMARY,25 - 29,1903
2017,MF,PRIMARY,30 - 34,2653
2017,F,PRIMARY,30 - 34,2063
2017,MF,PRIMARY,35 - 39,3193
2017,F,PRIMARY,35 - 39,2530
2017,MF,PRIMARY,40 - 44,2917
2017,F,PRIMARY,40 - 44,2290
2017,MF,PRIMARY,45 - 49,2176
2017,F,PRIMARY,45 - 49,1722
2017,MF,PRIMARY,50 - 54,1127
2017,F,PRIMARY,50 - 54,902
2017,MF,PRIMARY,55 & ABOVE,1211
2017,F,PRIMARY,55 & ABOVE,1029
2017,MF,SECONDARY,24 YEARS & BELOW,214
2017,F,SECONDARY,24 YEARS & BELOW,212
2017,MF,SECONDARY,25 - 29,2581
2017,F,SECONDARY,25 - 29,1913
2017,MF,SECONDARY,30 - 34,3045
2017,F,SECONDARY,30 - 34,2023
2017,MF,SECONDARY,35 - 39,2743
2017,F,SECONDARY,35 - 39,1641
2017,MF,SECONDARY,40 - 44,2271
2017,F,SECONDARY,40 - 44,1253
2017,MF,SECONDARY,45 - 49,1692
2017,F,SECONDARY,45 - 49,938
2017,MF,SECONDARY,50 - 54,975
2017,F,SECONDARY,50 - 54,603
2017,MF,SECONDARY,55 & ABOVE,1257
2017,F,SECONDARY,55 & ABOVE,846
2018,MF,PRIMARY,24 YEARS & BELOW,68
2018,F,PRIMARY,24 YEARS & BELOW,67
2018,MF,PRIMARY,25 - 29,1849
2018,F,PRIMARY,25 - 29,1661
2018,MF,PRIMARY,30 - 34,2798
2018,F,PRIMARY,30 - 34,2207
2018,MF,PRIMARY,35 - 39,3205
2018,F,PRIMARY,35 - 39,2525
2018,MF,PRIMARY,40 - 44,2930
2018,F,PRIMARY,40 - 44,2300
2018,MF,PRIMARY,45 - 49,2391
2018,F,PRIMARY,45 - 49,1901
2018,MF,PRIMARY,50 - 54,1308
2018,F,PRIMARY,50 - 54,1042
2018,MF,PRIMARY,55 & ABOVE,1238
2018,F,PRIMARY,55 & ABOVE,1044
2018,MF,SECONDARY,24 YEARS & BELOW,63
2018,F,SECONDARY,24 YEARS & BELOW,62
2018,MF,SECONDARY,25 - 29,2094
2018,F,SECONDARY,25 - 29,1626
2018,MF,SECONDARY,30 - 34,2971
2018,F,SECONDARY,30 - 34,1954
2018,MF,SECONDARY,35 - 39,2707
2018,F,SECONDARY,35 - 39,1685
2018,MF,SECONDARY,40 - 44,2240
2018,F,SECONDARY,40 - 44,1246
2018,MF,SECONDARY,45 - 49,1840
2018,F,SECONDARY,45 - 49,1020
2018,MF,SECONDARY,50 - 54,1021
2018,F,SECONDARY,50 - 54,631
2018,MF,SECONDARY,55 & ABOVE,1305
2018,F,SECONDARY,55 & ABOVE,877
2018,MF,PRE-UNIVERSITY,24 YEARS & BELOW,4
2018,F,PRE-UNIVERSITY,24 YEARS & BELOW,4
2018,MF,PRE-UNIVERSITY,25 - 29,278
2018,F,PRE-UNIVERSITY,25 - 29,193
2018,MF,PRE-UNIVERSITY,30 - 34,574
2018,F,PRE-UNIVERSITY,30 - 34,336
2018,MF,PRE-UNIVERSITY,35 - 39,612
2018,F,PRE-UNIVERSITY,35 - 39,358
2018,MF,PRE-UNIVERSITY,40 - 44,438
2018,F,PRE-UNIVERSITY,40 - 44,204
2018,MF,PRE-UNIVERSITY,45 - 49,300
2018,F,PRE-UNIVERSITY,45 - 49,142
2018,MF,PRE-UNIVERSITY,50 - 54,163
2018,F,PRE-UNIVERSITY,50 - 54,80
2018,MF,PRE-UNIVERSITY,55 & ABOVE,283
2018,F,PRE-UNIVERSITY,55 & ABOVE,188
