year,sex,level_of_school,length_of_service,no_of_teachers
1998,MF,PRIMARY,25 - 29 YEARS,788
1998,F,PRIMARY,25 - 29 YEARS,657
1998,MF,SECONDARY,25 - 29 YEARS,718
1998,F,SECONDARY,25 - 29 YEARS,409
1998,MF,PRE-UNIVERSITY,25 - 29 YEARS,105
1998,F,PRE-UNIVERSITY,25 - 29 YEARS,55
1998,MF,PRIMARY,30 YEARS & ABOVE,4245
1998,F,PRIMARY,30 YEARS & ABOVE,2819
1998,MF,SECONDARY,30 YEARS & ABOVE,1833
1998,F,SECONDARY,30 YEARS & ABOVE,746
1998,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,91
1998,F,PRE-UNIVERSITY,30 YEARS & ABOVE,32
1999,MF,PRIMARY,0 - 4 YEARS,4073
1999,F,PRIMARY,0 - 4 YEARS,3331
1999,MF,SECONDARY,0 - 4 YEARS,3089
1999,F,SECONDARY,0 - 4 YEARS,1955
1999,MF,PRE-UNIVERSITY,0 - 4 YEARS,730
1999,F,PRE-UNIVERSITY,0 - 4 YEARS,377
1999,MF,PRIMARY,5 - 9 YEARS,1630
1999,F,PRIMARY,5 - 9 YEARS,1446
1999,MF,SECONDARY,5 - 9 YEARS,1273
1999,F,SECONDARY,5 - 9 YEARS,904
1999,MF,PRE-UNIVERSITY,5 - 9 YEARS,260
1999,F,PRE-UNIVERSITY,5 - 9 YEARS,154
1999,MF,PRIMARY,10 - 14 YEARS,608
1999,F,PRIMARY,10 - 14 YEARS,537
1999,MF,SECONDARY,10 - 14 YEARS,818
1999,F,SECONDARY,10 - 14 YEARS,657
1999,MF,PRE-UNIVERSITY,10 - 14 YEARS,253
1999,F,PRE-UNIVERSITY,10 - 14 YEARS,170
1999,MF,PRIMARY,15 - 19 YEARS,628
1999,F,PRIMARY,15 - 19 YEARS,571
1999,MF,SECONDARY,15 - 19 YEARS,1021
1999,F,SECONDARY,15 - 19 YEARS,794
1999,MF,PRE-UNIVERSITY,15 - 19 YEARS,226
1999,F,PRE-UNIVERSITY,15 - 19 YEARS,159
1999,MF,PRIMARY,20 - 24 YEARS,502
1999,F,PRIMARY,20 - 24 YEARS,432
1999,MF,SECONDARY,20 - 24 YEARS,623
1999,F,SECONDARY,20 - 24 YEARS,469
1999,MF,PRE-UNIVERSITY,20 - 24 YEARS,164
1999,F,PRE-UNIVERSITY,20 - 24 YEARS,116
1999,MF,PRIMARY,25 - 29 YEARS,796
1999,F,PRIMARY,25 - 29 YEARS,685
1999,MF,SECONDARY,25 - 29 YEARS,665
1999,F,SECONDARY,25 - 29 YEARS,402
1999,MF,PRE-UNIVERSITY,25 - 29 YEARS,109
1999,F,PRE-UNIVERSITY,25 - 29 YEARS,65
1999,MF,PRIMARY,30 YEARS & ABOVE,3895
1999,F,PRIMARY,30 YEARS & ABOVE,2590
1999,MF,SECONDARY,30 YEARS & ABOVE,1721
1999,F,SECONDARY,30 YEARS & ABOVE,728
1999,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,99
1999,F,PRE-UNIVERSITY,30 YEARS & ABOVE,37
2000,MF,PRIMARY,0 - 4 YEARS,4580
2000,F,PRIMARY,0 - 4 YEARS,3724
2000,MF,SECONDARY,0 - 4 YEARS,3703
2000,F,SECONDARY,0 - 4 YEARS,2351
2000,MF,PRE-UNIVERSITY,0 - 4 YEARS,756
2000,F,PRE-UNIVERSITY,0 - 4 YEARS,391
2000,MF,PRIMARY,5 - 9 YEARS,1731
2000,F,PRIMARY,5 - 9 YEARS,1513
2000,MF,SECONDARY,5 - 9 YEARS,1274
2000,F,SECONDARY,5 - 9 YEARS,888
2000,MF,PRE-UNIVERSITY,5 - 9 YEARS,264
2000,F,PRE-UNIVERSITY,5 - 9 YEARS,144
2000,MF,PRIMARY,10 - 14 YEARS,685
2000,F,PRIMARY,10 - 14 YEARS,621
2000,MF,SECONDARY,10 - 14 YEARS,873
2000,F,SECONDARY,10 - 14 YEARS,696
2000,MF,PRE-UNIVERSITY,10 - 14 YEARS,258
2000,F,PRE-UNIVERSITY,10 - 14 YEARS,165
2000,MF,PRIMARY,15 - 19 YEARS,464
2000,F,PRIMARY,15 - 19 YEARS,406
2000,MF,SECONDARY,15 - 19 YEARS,870
2000,F,SECONDARY,15 - 19 YEARS,673
2000,MF,PRE-UNIVERSITY,15 - 19 YEARS,227
2000,F,PRE-UNIVERSITY,15 - 19 YEARS,161
2000,MF,PRIMARY,20 - 24 YEARS,664
2000,F,PRIMARY,20 - 24 YEARS,608
2000,MF,SECONDARY,20 - 24 YEARS,660
2000,F,SECONDARY,20 - 24 YEARS,499
2000,MF,PRE-UNIVERSITY,20 - 24 YEARS,172
2000,F,PRE-UNIVERSITY,20 - 24 YEARS,116
2000,MF,PRIMARY,25 - 29 YEARS,757
2000,F,PRIMARY,25 - 29 YEARS,629
2000,MF,SECONDARY,25 - 29 YEARS,590
2000,F,SECONDARY,25 - 29 YEARS,353
2000,MF,PRE-UNIVERSITY,25 - 29 YEARS,102
2000,F,PRE-UNIVERSITY,25 - 29 YEARS,64
2000,MF,PRIMARY,30 YEARS & ABOVE,3406
2000,F,PRIMARY,30 YEARS & ABOVE,2308
2000,MF,SECONDARY,30 YEARS & ABOVE,1492
2000,F,SECONDARY,30 YEARS & ABOVE,653
2000,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,99
2000,F,PRE-UNIVERSITY,30 YEARS & ABOVE,42
2001,MF,PRIMARY,0 - 4 YEARS,4530
2001,F,PRIMARY,0 - 4 YEARS,3697
2001,MF,SECONDARY,0 - 4 YEARS,3539
2001,F,SECONDARY,0 - 4 YEARS,2223
2001,MF,PRE-UNIVERSITY,0 - 4 YEARS,742
2001,F,PRE-UNIVERSITY,0 - 4 YEARS,376
2001,MF,PRIMARY,5 - 9 YEARS,1794
2001,F,PRIMARY,5 - 9 YEARS,1554
2001,MF,SECONDARY,5 - 9 YEARS,1458
2001,F,SECONDARY,5 - 9 YEARS,980
2001,MF,PRE-UNIVERSITY,5 - 9 YEARS,278
2001,F,PRE-UNIVERSITY,5 - 9 YEARS,149
2001,MF,PRIMARY,10 - 14 YEARS,793
2001,F,PRIMARY,10 - 14 YEARS,707
2001,MF,SECONDARY,10 - 14 YEARS,800
2001,F,SECONDARY,10 - 14 YEARS,606
2001,MF,PRE-UNIVERSITY,10 - 14 YEARS,195
2001,F,PRE-UNIVERSITY,10 - 14 YEARS,122
2001,MF,PRIMARY,15 - 19 YEARS,475
2001,F,PRIMARY,15 - 19 YEARS,414
2001,MF,SECONDARY,15 - 19 YEARS,906
2001,F,SECONDARY,15 - 19 YEARS,710
2001,MF,PRE-UNIVERSITY,15 - 19 YEARS,258
2001,F,PRE-UNIVERSITY,15 - 19 YEARS,175
2001,MF,PRIMARY,20 - 24 YEARS,684
2001,F,PRIMARY,20 - 24 YEARS,642
2001,MF,SECONDARY,20 - 24 YEARS,792
2001,F,SECONDARY,20 - 24 YEARS,608
2001,MF,PRE-UNIVERSITY,20 - 24 YEARS,189
2001,F,PRE-UNIVERSITY,20 - 24 YEARS,126
2001,MF,PRIMARY,25 - 29 YEARS,682
2001,F,PRIMARY,25 - 29 YEARS,575
2001,MF,SECONDARY,25 - 29 YEARS,428
2001,F,SECONDARY,25 - 29 YEARS,306
2001,MF,PRE-UNIVERSITY,25 - 29 YEARS,81
2001,F,PRE-UNIVERSITY,25 - 29 YEARS,53
2001,MF,PRIMARY,30 YEARS & ABOVE,3053
2001,F,PRIMARY,30 YEARS & ABOVE,2142
2001,MF,SECONDARY,30 YEARS & ABOVE,1568
2001,F,SECONDARY,30 YEARS & ABOVE,713
2001,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,126
2001,F,PRE-UNIVERSITY,30 YEARS & ABOVE,56
2002,MF,PRIMARY,0 - 4 YEARS,5141
2002,F,PRIMARY,0 - 4 YEARS,4193
2002,MF,SECONDARY,0 - 4 YEARS,4320
2002,F,SECONDARY,0 - 4 YEARS,2740
2002,MF,PRE-UNIVERSITY,0 - 4 YEARS,871
2002,F,PRE-UNIVERSITY,0 - 4 YEARS,447
2002,MF,PRIMARY,5 - 9 YEARS,1719
2002,F,PRIMARY,5 - 9 YEARS,1489
2002,MF,SECONDARY,5 - 9 YEARS,1433
2002,F,SECONDARY,5 - 9 YEARS,966
2002,MF,PRE-UNIVERSITY,5 - 9 YEARS,272
2002,F,PRE-UNIVERSITY,5 - 9 YEARS,141
2002,MF,PRIMARY,10 - 14 YEARS,769
2002,F,PRIMARY,10 - 14 YEARS,687
2002,MF,SECONDARY,10 - 14 YEARS,803
2002,F,SECONDARY,10 - 14 YEARS,607
2002,MF,PRE-UNIVERSITY,10 - 14 YEARS,187
2002,F,PRE-UNIVERSITY,10 - 14 YEARS,121
2002,MF,PRIMARY,15 - 19 YEARS,466
2002,F,PRIMARY,15 - 19 YEARS,406
2002,MF,SECONDARY,15 - 19 YEARS,914
2002,F,SECONDARY,15 - 19 YEARS,715
2002,MF,PRE-UNIVERSITY,15 - 19 YEARS,256
2002,F,PRE-UNIVERSITY,15 - 19 YEARS,172
2002,MF,PRIMARY,20 - 24 YEARS,661
2002,F,PRIMARY,20 - 24 YEARS,619
2002,MF,SECONDARY,20 - 24 YEARS,787
2002,F,SECONDARY,20 - 24 YEARS,607
2002,MF,PRE-UNIVERSITY,20 - 24 YEARS,185
2002,F,PRE-UNIVERSITY,20 - 24 YEARS,124
2002,MF,PRIMARY,25 - 29 YEARS,667
2002,F,PRIMARY,25 - 29 YEARS,562
2002,MF,SECONDARY,25 - 29 YEARS,422
2002,F,SECONDARY,25 - 29 YEARS,304
2002,MF,PRE-UNIVERSITY,25 - 29 YEARS,76
2002,F,PRE-UNIVERSITY,25 - 29 YEARS,49
2002,MF,PRIMARY,30 YEARS & ABOVE,2614
2002,F,PRIMARY,30 YEARS & ABOVE,1866
2002,MF,SECONDARY,30 YEARS & ABOVE,1431
2002,F,SECONDARY,30 YEARS & ABOVE,669
2002,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,112
2002,F,PRE-UNIVERSITY,30 YEARS & ABOVE,50
2003,MF,PRIMARY,0 - 4 YEARS,5052
2003,F,PRIMARY,0 - 4 YEARS,4076
2003,MF,SECONDARY,0 - 4 YEARS,4524
2003,F,SECONDARY,0 - 4 YEARS,2852
2003,MF,PRE-UNIVERSITY,0 - 4 YEARS,822
2003,F,PRE-UNIVERSITY,0 - 4 YEARS,448
2003,MF,PRIMARY,5 - 9 YEARS,1893
2003,F,PRIMARY,5 - 9 YEARS,1576
2003,MF,SECONDARY,5 - 9 YEARS,2038
2003,F,SECONDARY,5 - 9 YEARS,1362
2003,MF,PRE-UNIVERSITY,5 - 9 YEARS,424
2003,F,PRE-UNIVERSITY,5 - 9 YEARS,219
2003,MF,PRIMARY,10 - 14 YEARS,1200
2003,F,PRIMARY,10 - 14 YEARS,1084
2003,MF,SECONDARY,10 - 14 YEARS,806
2003,F,SECONDARY,10 - 14 YEARS,582
2003,MF,PRE-UNIVERSITY,10 - 14 YEARS,168
2003,F,PRE-UNIVERSITY,10 - 14 YEARS,92
2003,MF,PRIMARY,15 - 19 YEARS,567
2003,F,PRIMARY,15 - 19 YEARS,508
2003,MF,SECONDARY,15 - 19 YEARS,761
2003,F,SECONDARY,15 - 19 YEARS,589
2003,MF,PRE-UNIVERSITY,15 - 19 YEARS,194
2003,F,PRE-UNIVERSITY,15 - 19 YEARS,125
2003,MF,PRIMARY,20 - 24 YEARS,737
2003,F,PRIMARY,20 - 24 YEARS,667
2003,MF,SECONDARY,20 - 24 YEARS,1050
2003,F,SECONDARY,20 - 24 YEARS,831
2003,MF,PRE-UNIVERSITY,20 - 24 YEARS,232
2003,F,PRE-UNIVERSITY,20 - 24 YEARS,164
2003,MF,PRIMARY,25 - 29 YEARS,262
2003,F,PRIMARY,25 - 29 YEARS,205
2003,MF,SECONDARY,25 - 29 YEARS,379
2003,F,SECONDARY,25 - 29 YEARS,277
2003,MF,PRE-UNIVERSITY,25 - 29 YEARS,107
2003,F,PRE-UNIVERSITY,25 - 29 YEARS,81
2003,MF,PRIMARY,30 YEARS & ABOVE,2314
2003,F,PRIMARY,30 YEARS & ABOVE,1835
2003,MF,SECONDARY,30 YEARS & ABOVE,1272
2003,F,SECONDARY,30 YEARS & ABOVE,693
2003,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,112
2003,F,PRE-UNIVERSITY,30 YEARS & ABOVE,51
2004,MF,PRIMARY,0 - 4 YEARS,4868
2004,F,PRIMARY,0 - 4 YEARS,3920
2004,MF,SECONDARY,0 - 4 YEARS,4451
2004,F,SECONDARY,0 - 4 YEARS,2843
2004,MF,PRE-UNIVERSITY,0 - 4 YEARS,960
2004,F,PRE-UNIVERSITY,0 - 4 YEARS,543
2004,MF,PRIMARY,5 - 9 YEARS,2643
2004,F,PRIMARY,5 - 9 YEARS,2194
2004,MF,SECONDARY,5 - 9 YEARS,2443
2004,F,SECONDARY,5 - 9 YEARS,1555
2004,MF,PRE-UNIVERSITY,5 - 9 YEARS,483
2004,F,PRE-UNIVERSITY,5 - 9 YEARS,264
2004,MF,PRIMARY,10 - 14 YEARS,1341
2004,F,PRIMARY,10 - 14 YEARS,1179
2004,MF,SECONDARY,10 - 14 YEARS,1032
2004,F,SECONDARY,10 - 14 YEARS,751
2004,MF,PRE-UNIVERSITY,10 - 14 YEARS,202
2004,F,PRE-UNIVERSITY,10 - 14 YEARS,111
2004,MF,PRIMARY,15 - 19 YEARS,497
2004,F,PRIMARY,15 - 19 YEARS,449
2004,MF,SECONDARY,15 - 19 YEARS,687
2004,F,SECONDARY,15 - 19 YEARS,535
2004,MF,PRE-UNIVERSITY,15 - 19 YEARS,164
2004,F,PRE-UNIVERSITY,15 - 19 YEARS,107
2004,MF,PRIMARY,20 - 24 YEARS,808
2004,F,PRIMARY,20 - 24 YEARS,731
2004,MF,SECONDARY,20 - 24 YEARS,966
2004,F,SECONDARY,20 - 24 YEARS,753
2004,MF,PRE-UNIVERSITY,20 - 24 YEARS,210
2004,F,PRE-UNIVERSITY,20 - 24 YEARS,150
2004,MF,PRIMARY,25 - 29 YEARS,289
2004,F,PRIMARY,25 - 29 YEARS,237
2004,MF,SECONDARY,25 - 29 YEARS,568
2004,F,SECONDARY,25 - 29 YEARS,426
2004,MF,PRE-UNIVERSITY,25 - 29 YEARS,146
2004,F,PRE-UNIVERSITY,25 - 29 YEARS,103
2004,MF,PRIMARY,30 YEARS & ABOVE,1763
2004,F,PRIMARY,30 YEARS & ABOVE,1441
2004,MF,SECONDARY,30 YEARS & ABOVE,1093
2004,F,SECONDARY,30 YEARS & ABOVE,623
2004,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,102
2004,F,PRE-UNIVERSITY,30 YEARS & ABOVE,51
2005,MF,PRIMARY,0 - 4 YEARS,4751
2005,F,PRIMARY,0 - 4 YEARS,3801
2005,MF,SECONDARY,0 - 4 YEARS,4470
2005,F,SECONDARY,0 - 4 YEARS,2887
2005,MF,PRE-UNIVERSITY,0 - 4 YEARS,1190
2005,F,PRE-UNIVERSITY,0 - 4 YEARS,676
2005,MF,PRIMARY,5 - 9 YEARS,3134
2005,F,PRIMARY,5 - 9 YEARS,2578
2005,MF,SECONDARY,5 - 9 YEARS,2728
2005,F,SECONDARY,5 - 9 YEARS,1698
2005,MF,PRE-UNIVERSITY,5 - 9 YEARS,523
2005,F,PRE-UNIVERSITY,5 - 9 YEARS,278
2005,MF,PRIMARY,10 - 14 YEARS,1430
2005,F,PRIMARY,10 - 14 YEARS,1245
2005,MF,SECONDARY,10 - 14 YEARS,1166
2005,F,SECONDARY,10 - 14 YEARS,809
2005,MF,PRE-UNIVERSITY,10 - 14 YEARS,209
2005,F,PRE-UNIVERSITY,10 - 14 YEARS,108
2005,MF,PRIMARY,15 - 19 YEARS,567
2005,F,PRIMARY,15 - 19 YEARS,513
2005,MF,SECONDARY,15 - 19 YEARS,715
2005,F,SECONDARY,15 - 19 YEARS,548
2005,MF,PRE-UNIVERSITY,15 - 19 YEARS,162
2005,F,PRE-UNIVERSITY,15 - 19 YEARS,100
2005,MF,PRIMARY,20 - 24 YEARS,794
2005,F,PRIMARY,20 - 24 YEARS,721
2005,MF,SECONDARY,20 - 24 YEARS,927
2005,F,SECONDARY,20 - 24 YEARS,722
2005,MF,PRE-UNIVERSITY,20 - 24 YEARS,210
2005,F,PRE-UNIVERSITY,20 - 24 YEARS,153
2005,MF,PRIMARY,25 - 29 YEARS,262
2005,F,PRIMARY,25 - 29 YEARS,241
2005,MF,SECONDARY,25 - 29 YEARS,626
2005,F,SECONDARY,25 - 29 YEARS,481
2005,MF,PRE-UNIVERSITY,25 - 29 YEARS,156
2005,F,PRE-UNIVERSITY,25 - 29 YEARS,103
2005,MF,PRIMARY,30 YEARS & ABOVE,1405
2005,F,PRIMARY,30 YEARS & ABOVE,1144
2005,MF,SECONDARY,30 YEARS & ABOVE,863
2005,F,SECONDARY,30 YEARS & ABOVE,522
2005,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,94
2005,F,PRE-UNIVERSITY,30 YEARS & ABOVE,51
2006,MF,PRIMARY,0 - 4 YEARS,4788
2006,F,PRIMARY,0 - 4 YEARS,3834
2006,MF,SECONDARY,0 - 4 YEARS,4730
2006,F,SECONDARY,0 - 4 YEARS,3047
2006,MF,PRE-UNIVERSITY,0 - 4 YEARS,1185
2006,F,PRE-UNIVERSITY,0 - 4 YEARS,704
2006,MF,PRIMARY,5 - 9 YEARS,3299
2006,F,PRIMARY,5 - 9 YEARS,2675
2006,MF,SECONDARY,5 - 9 YEARS,2653
2006,F,SECONDARY,5 - 9 YEARS,1635
2006,MF,PRE-UNIVERSITY,5 - 9 YEARS,506
2006,F,PRE-UNIVERSITY,5 - 9 YEARS,251
2006,MF,PRIMARY,10 - 14 YEARS,1584
2006,F,PRIMARY,10 - 14 YEARS,1370
2006,MF,SECONDARY,10 - 14 YEARS,1295
2006,F,SECONDARY,10 - 14 YEARS,885
2006,MF,PRE-UNIVERSITY,10 - 14 YEARS,231
2006,F,PRE-UNIVERSITY,10 - 14 YEARS,121
2006,MF,PRIMARY,15 - 19 YEARS,746
2006,F,PRIMARY,15 - 19 YEARS,673
2006,MF,SECONDARY,15 - 19 YEARS,705
2006,F,SECONDARY,15 - 19 YEARS,522
2006,MF,PRE-UNIVERSITY,15 - 19 YEARS,153
2006,F,PRE-UNIVERSITY,15 - 19 YEARS,92
2006,MF,PRIMARY,20 - 24 YEARS,491
2006,F,PRIMARY,20 - 24 YEARS,436
2006,MF,SECONDARY,20 - 24 YEARS,784
2006,F,SECONDARY,20 - 24 YEARS,622
2006,MF,PRE-UNIVERSITY,20 - 24 YEARS,191
2006,F,PRE-UNIVERSITY,20 - 24 YEARS,132
2006,MF,PRIMARY,25 - 29 YEARS,569
2006,F,PRIMARY,25 - 29 YEARS,531
2006,MF,SECONDARY,25 - 29 YEARS,778
2006,F,SECONDARY,25 - 29 YEARS,599
2006,MF,PRE-UNIVERSITY,25 - 29 YEARS,164
2006,F,PRE-UNIVERSITY,25 - 29 YEARS,112
2006,MF,PRIMARY,30 YEARS & ABOVE,1120
2006,F,PRIMARY,30 YEARS & ABOVE,924
2006,MF,SECONDARY,30 YEARS & ABOVE,727
2006,F,SECONDARY,30 YEARS & ABOVE,477
2006,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,105
2006,F,PRE-UNIVERSITY,30 YEARS & ABOVE,65
2007,MF,PRIMARY,0 - 4 YEARS,4696
2007,F,PRIMARY,0 - 4 YEARS,3712
2007,MF,SECONDARY,0 - 4 YEARS,4755
2007,F,SECONDARY,0 - 4 YEARS,3021
2007,MF,PRE-UNIVERSITY,0 - 4 YEARS,1239
2007,F,PRE-UNIVERSITY,0 - 4 YEARS,723
2007,MF,PRIMARY,5 - 9 YEARS,3616
2007,F,PRIMARY,5 - 9 YEARS,2927
2007,MF,SECONDARY,5 - 9 YEARS,2718
2007,F,SECONDARY,5 - 9 YEARS,1671
2007,MF,PRE-UNIVERSITY,5 - 9 YEARS,558
2007,F,PRE-UNIVERSITY,5 - 9 YEARS,274
2007,MF,PRIMARY,10 - 14 YEARS,1612
2007,F,PRIMARY,10 - 14 YEARS,1380
2007,MF,SECONDARY,10 - 14 YEARS,1599
2007,F,SECONDARY,10 - 14 YEARS,1076
2007,MF,PRE-UNIVERSITY,10 - 14 YEARS,300
2007,F,PRE-UNIVERSITY,10 - 14 YEARS,160
2007,MF,PRIMARY,15 - 19 YEARS,976
2007,F,PRIMARY,15 - 19 YEARS,883
2007,MF,SECONDARY,15 - 19 YEARS,663
2007,F,SECONDARY,15 - 19 YEARS,494
2007,MF,PRE-UNIVERSITY,15 - 19 YEARS,159
2007,F,PRE-UNIVERSITY,15 - 19 YEARS,92
2007,MF,PRIMARY,20 - 24 YEARS,408
2007,F,PRIMARY,20 - 24 YEARS,355
2007,MF,SECONDARY,20 - 24 YEARS,672
2007,F,SECONDARY,20 - 24 YEARS,516
2007,MF,PRE-UNIVERSITY,20 - 24 YEARS,182
2007,F,PRE-UNIVERSITY,20 - 24 YEARS,125
2007,MF,PRIMARY,25 - 29 YEARS,674
2007,F,PRIMARY,25 - 29 YEARS,622
2007,MF,SECONDARY,25 - 29 YEARS,850
2007,F,SECONDARY,25 - 29 YEARS,667
2007,MF,PRE-UNIVERSITY,25 - 29 YEARS,170
2007,F,PRE-UNIVERSITY,25 - 29 YEARS,120
2007,MF,PRIMARY,30 YEARS & ABOVE,915
2007,F,PRIMARY,30 YEARS & ABOVE,771
2007,MF,SECONDARY,30 YEARS & ABOVE,635
2007,F,SECONDARY,30 YEARS & ABOVE,430
2007,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,108
2007,F,PRE-UNIVERSITY,30 YEARS & ABOVE,66
2008,MF,PRIMARY,0 - 4 YEARS,4380
2008,F,PRIMARY,0 - 4 YEARS,3420
2008,MF,SECONDARY,0 - 4 YEARS,4539
2008,F,SECONDARY,0 - 4 YEARS,2852
2008,MF,PRE-UNIVERSITY,0 - 4 YEARS,1213
2008,F,PRE-UNIVERSITY,0 - 4 YEARS,697
2008,MF,PRIMARY,5 - 9 YEARS,3984
2008,F,PRIMARY,5 - 9 YEARS,3207
2008,MF,SECONDARY,5 - 9 YEARS,3058
2008,F,SECONDARY,5 - 9 YEARS,1907
2008,MF,PRE-UNIVERSITY,5 - 9 YEARS,544
2008,F,PRE-UNIVERSITY,5 - 9 YEARS,278
2008,MF,PRIMARY,10 - 14 YEARS,1634
2008,F,PRIMARY,10 - 14 YEARS,1383
2008,MF,SECONDARY,10 - 14 YEARS,1757
2008,F,SECONDARY,10 - 14 YEARS,1151
2008,MF,PRE-UNIVERSITY,10 - 14 YEARS,346
2008,F,PRE-UNIVERSITY,10 - 14 YEARS,178
2008,MF,PRIMARY,15 - 19 YEARS,1092
2008,F,PRIMARY,15 - 19 YEARS,981
2008,MF,SECONDARY,15 - 19 YEARS,696
2008,F,SECONDARY,15 - 19 YEARS,512
2008,MF,PRE-UNIVERSITY,15 - 19 YEARS,144
2008,F,PRE-UNIVERSITY,15 - 19 YEARS,81
2008,MF,PRIMARY,20 - 24 YEARS,509
2008,F,PRIMARY,20 - 24 YEARS,459
2008,MF,SECONDARY,20 - 24 YEARS,634
2008,F,SECONDARY,20 - 24 YEARS,496
2008,MF,PRE-UNIVERSITY,20 - 24 YEARS,185
2008,F,PRE-UNIVERSITY,20 - 24 YEARS,118
2008,MF,PRIMARY,25 - 29 YEARS,685
2008,F,PRIMARY,25 - 29 YEARS,624
2008,MF,SECONDARY,25 - 29 YEARS,888
2008,F,SECONDARY,25 - 29 YEARS,690
2008,MF,PRE-UNIVERSITY,25 - 29 YEARS,182
2008,F,PRE-UNIVERSITY,25 - 29 YEARS,139
2008,MF,PRIMARY,30 YEARS & ABOVE,739
2008,F,PRIMARY,30 YEARS & ABOVE,631
2008,MF,SECONDARY,30 YEARS & ABOVE,571
2008,F,SECONDARY,30 YEARS & ABOVE,407
2008,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,114
2008,F,PRE-UNIVERSITY,30 YEARS & ABOVE,73
2009,MF,PRIMARY,0 - 4 YEARS,4425
2009,F,PRIMARY,0 - 4 YEARS,3426
2009,MF,SECONDARY,0 - 4 YEARS,5163
2009,F,SECONDARY,0 - 4 YEARS,3250
2009,MF,PRE-UNIVERSITY,0 - 4 YEARS,1101
2009,F,PRE-UNIVERSITY,0 - 4 YEARS,626
2009,MF,PRIMARY,5 - 9 YEARS,4204
2009,F,PRIMARY,5 - 9 YEARS,3406
2009,MF,SECONDARY,5 - 9 YEARS,3254
2009,F,SECONDARY,5 - 9 YEARS,2099
2009,MF,PRE-UNIVERSITY,5 - 9 YEARS,646
2009,F,PRE-UNIVERSITY,5 - 9 YEARS,348
2009,MF,PRIMARY,10 - 14 YEARS,2195
2009,F,PRIMARY,10 - 14 YEARS,1854
2009,MF,SECONDARY,10 - 14 YEARS,1932
2009,F,SECONDARY,10 - 14 YEARS,1237
2009,MF,PRE-UNIVERSITY,10 - 14 YEARS,400
2009,F,PRE-UNIVERSITY,10 - 14 YEARS,212
2009,MF,PRIMARY,15 - 19 YEARS,1216
2009,F,PRIMARY,15 - 19 YEARS,1075
2009,MF,SECONDARY,15 - 19 YEARS,857
2009,F,SECONDARY,15 - 19 YEARS,636
2009,MF,PRE-UNIVERSITY,15 - 19 YEARS,181
2009,F,PRE-UNIVERSITY,15 - 19 YEARS,108
2009,MF,PRIMARY,20 - 24 YEARS,457
2009,F,PRIMARY,20 - 24 YEARS,412
2009,MF,SECONDARY,20 - 24 YEARS,572
2009,F,SECONDARY,20 - 24 YEARS,447
2009,MF,PRE-UNIVERSITY,20 - 24 YEARS,172
2009,F,PRE-UNIVERSITY,20 - 24 YEARS,104
2009,MF,PRIMARY,25 - 29 YEARS,721
2009,F,PRIMARY,25 - 29 YEARS,659
2009,MF,SECONDARY,25 - 29 YEARS,816
2009,F,SECONDARY,25 - 29 YEARS,623
2009,MF,PRE-UNIVERSITY,25 - 29 YEARS,173
2009,F,PRE-UNIVERSITY,25 - 29 YEARS,135
2009,MF,PRIMARY,30 YEARS & ABOVE,646
2009,F,PRIMARY,30 YEARS & ABOVE,573
2009,MF,SECONDARY,30 YEARS & ABOVE,620
2009,F,SECONDARY,30 YEARS & ABOVE,457
2009,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,124
2009,F,PRE-UNIVERSITY,30 YEARS & ABOVE,86
2010,MF,PRIMARY,0 - 4 YEARS,4317
2010,F,PRIMARY,0 - 4 YEARS,3339
2010,MF,SECONDARY,0 - 4 YEARS,5107
2010,F,SECONDARY,0 - 4 YEARS,3280
2010,MF,PRE-UNIVERSITY,0 - 4 YEARS,1052
2010,F,PRE-UNIVERSITY,0 - 4 YEARS,590
2010,MF,PRIMARY,5 - 9 YEARS,3833
2010,F,PRIMARY,5 - 9 YEARS,3084
2010,MF,SECONDARY,5 - 9 YEARS,3212
2010,F,SECONDARY,5 - 9 YEARS,2044
2010,MF,PRE-UNIVERSITY,5 - 9 YEARS,743
2010,F,PRE-UNIVERSITY,5 - 9 YEARS,419
2010,MF,PRIMARY,10 - 14 YEARS,2516
2010,F,PRIMARY,10 - 14 YEARS,2095
2010,MF,SECONDARY,10 - 14 YEARS,2094
2010,F,SECONDARY,10 - 14 YEARS,1265
2010,MF,PRE-UNIVERSITY,10 - 14 YEARS,399
2010,F,PRE-UNIVERSITY,10 - 14 YEARS,199
2010,MF,PRIMARY,15 - 19 YEARS,1264
2010,F,PRIMARY,15 - 19 YEARS,1105
2010,MF,SECONDARY,15 - 19 YEARS,960
2010,F,SECONDARY,15 - 19 YEARS,688
2010,MF,PRE-UNIVERSITY,15 - 19 YEARS,184
