year,sex,level_of_school,length_of_service,no_of_teachers
1989,F,SECONDARY,10 - 14 YEARS,1067
1989,MF,PRE-UNIVERSITY,10 - 14 YEARS,314
1989,F,PRE-UNIVERSITY,10 - 14 YEARS,226
1989,MF,PRIMARY,15 - 19 YEARS,919
1989,F,PRIMARY,15 - 19 YEARS,802
1989,MF,SECONDARY,15 - 19 YEARS,748
1989,F,SECONDARY,15 - 19 YEARS,484
1989,MF,PRE-UNIVERSITY,15 - 19 YEARS,119
1989,F,PRE-UNIVERSITY,15 - 19 YEARS,74
1989,MF,PRIMARY,20 - 24 YEARS,2132
1989,F,PRIMARY,20 - 24 YEARS,1567
1989,MF,SECONDARY,20 - 24 YEARS,1572
1989,F,SECONDARY,20 - 24 YEARS,786
1989,MF,PRE-UNIVERSITY,20 - 24 YEARS,128
1989,F,PRE-UNIVERSITY,20 - 24 YEARS,58
1989,MF,PRIMARY,25 - 29 YEARS,3109
1989,F,PRIMARY,25 - 29 YEARS,1966
1989,MF,SECONDARY,25 - 29 YEARS,1265
1989,F,SECONDARY,25 - 29 YEARS,493
1989,MF,PRE-UNIVERSITY,25 - 29 YEARS,75
1989,F,PRE-UNIVERSITY,25 - 29 YEARS,28
1989,MF,PRIMARY,30 YEARS & ABOVE,1774
1989,F,PRIMARY,30 YEARS & ABOVE,996
1989,MF,SECONDARY,30 YEARS & ABOVE,472
1989,F,SECONDARY,30 YEARS & ABOVE,132
1989,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,18
1989,F,PRE-UNIVERSITY,30 YEARS & ABOVE,2
1990,MF,PRIMARY,0 - 4 YEARS,957
1990,F,PRIMARY,0 - 4 YEARS,874
1990,MF,SECONDARY,0 - 4 YEARS,1098
1990,F,SECONDARY,0 - 4 YEARS,870
1990,MF,PRE-UNIVERSITY,0 - 4 YEARS,480
1990,F,PRE-UNIVERSITY,0 - 4 YEARS,315
1990,MF,PRIMARY,5 - 9 YEARS,578
1990,F,PRIMARY,5 - 9 YEARS,500
1990,MF,SECONDARY,5 - 9 YEARS,1217
1990,F,SECONDARY,5 - 9 YEARS,952
1990,MF,PRE-UNIVERSITY,5 - 9 YEARS,395
1990,F,PRE-UNIVERSITY,5 - 9 YEARS,282
1990,MF,PRIMARY,10 - 14 YEARS,878
1990,F,PRIMARY,10 - 14 YEARS,803
1990,MF,SECONDARY,10 - 14 YEARS,1247
1990,F,SECONDARY,10 - 14 YEARS,995
1990,MF,PRE-UNIVERSITY,10 - 14 YEARS,321
1990,F,PRE-UNIVERSITY,10 - 14 YEARS,220
1990,MF,PRIMARY,15 - 19 YEARS,847
1990,F,PRIMARY,15 - 19 YEARS,726
1990,MF,SECONDARY,15 - 19 YEARS,738
1990,F,SECONDARY,15 - 19 YEARS,490
1990,MF,PRE-UNIVERSITY,15 - 19 YEARS,119
1990,F,PRE-UNIVERSITY,15 - 19 YEARS,78
1990,MF,PRIMARY,20 - 24 YEARS,1382
1990,F,PRIMARY,20 - 24 YEARS,1027
1990,MF,SECONDARY,20 - 24 YEARS,1187
1990,F,SECONDARY,20 - 24 YEARS,618
1990,MF,PRE-UNIVERSITY,20 - 24 YEARS,108
1990,F,PRE-UNIVERSITY,20 - 24 YEARS,49
1990,MF,PRIMARY,25 - 29 YEARS,3431
1990,F,PRIMARY,25 - 29 YEARS,2289
1990,MF,SECONDARY,25 - 29 YEARS,1481
1990,F,SECONDARY,25 - 29 YEARS,593
1990,MF,PRE-UNIVERSITY,25 - 29 YEARS,90
1990,F,PRE-UNIVERSITY,25 - 29 YEARS,33
1990,MF,PRIMARY,30 YEARS & ABOVE,2055
1990,F,PRIMARY,30 YEARS & ABOVE,1136
1990,MF,SECONDARY,30 YEARS & ABOVE,618
1990,F,SECONDARY,30 YEARS & ABOVE,193
1990,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,27
1990,F,PRE-UNIVERSITY,30 YEARS & ABOVE,7
1991,MF,PRIMARY,0 - 4 YEARS,1022
1991,F,PRIMARY,0 - 4 YEARS,941
1991,MF,SECONDARY,0 - 4 YEARS,1003
1991,F,SECONDARY,0 - 4 YEARS,784
1991,MF,PRE-UNIVERSITY,0 - 4 YEARS,473
1991,F,PRE-UNIVERSITY,0 - 4 YEARS,324
1991,MF,PRIMARY,5 - 9 YEARS,637
1991,F,PRIMARY,5 - 9 YEARS,553
1991,MF,SECONDARY,5 - 9 YEARS,1254
1991,F,SECONDARY,5 - 9 YEARS,985
1991,MF,PRE-UNIVERSITY,5 - 9 YEARS,421
1991,F,PRE-UNIVERSITY,5 - 9 YEARS,293
1991,MF,PRIMARY,10 - 14 YEARS,834
1991,F,PRIMARY,10 - 14 YEARS,771
1991,MF,SECONDARY,10 - 14 YEARS,1277
1991,F,SECONDARY,10 - 14 YEARS,1024
1991,MF,PRE-UNIVERSITY,10 - 14 YEARS,338
1991,F,PRE-UNIVERSITY,10 - 14 YEARS,229
1991,MF,PRIMARY,15 - 19 YEARS,730
1991,F,PRIMARY,15 - 19 YEARS,625
1991,MF,SECONDARY,15 - 19 YEARS,565
1991,F,SECONDARY,15 - 19 YEARS,420
1991,MF,PRE-UNIVERSITY,15 - 19 YEARS,101
1991,F,PRE-UNIVERSITY,15 - 19 YEARS,78
1991,MF,PRIMARY,20 - 24 YEARS,1033
1991,F,PRIMARY,20 - 24 YEARS,786
1991,MF,SECONDARY,20 - 24 YEARS,1063
1991,F,SECONDARY,20 - 24 YEARS,558
1991,MF,PRE-UNIVERSITY,20 - 24 YEARS,125
1991,F,PRE-UNIVERSITY,20 - 24 YEARS,58
1991,MF,PRIMARY,25 - 29 YEARS,3274
1991,F,PRIMARY,25 - 29 YEARS,2290
1991,MF,SECONDARY,25 - 29 YEARS,1633
1991,F,SECONDARY,25 - 29 YEARS,672
1991,MF,PRE-UNIVERSITY,25 - 29 YEARS,106
1991,F,PRE-UNIVERSITY,25 - 29 YEARS,37
1991,MF,PRIMARY,30 YEARS & ABOVE,2433
